Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y,Inflation,GDP,Unemployment,Repo Rate,Corporate Tax rate,IIP,Exchange Rate
2024-06-10,1499.75,676.0919189453130,270.8399963378910,1673.4000244140600,476.3999938964840,30764.75,332.3500061035160,1249.199951171880,1097.75,2519.10009765625,2540.597900390630,831.7999877929690,6106.14990234375,1426.050048828130,259.1499938964840,7.029,7.032,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-11,1495.75,669.0327758789060,264.8500061035160,1678.699951171880,478.2999877929690,31174.0,325.3500061035160,1257.0,1172.3499755859400,2533.0,2531.684814453130,835.5499877929690,6039.25,1427.25,273.54998779296900,7.029,7.014,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-12,1485.199951171880,668.386474609375,267.07000732421900,1680.5999755859400,479.1000061035160,31411.30078125,332.20001220703100,1248.949951171880,1168.9000244140600,2566.949951171880,2504.301513671880,839.0999755859380,6060.0498046875,1438.4000244140600,275.5,7.029,7.012,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-13,1493.949951171880,679.3232421875,262.9800109863280,1770.0,478.7999877929690,32433.150390625,325.75,1254.6500244140600,1176.449951171880,2684.300048828130,2463.39990234375,843.9000244140630,6095.85009765625,1425.75,276.54998779296900,7.01,6.986,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-14,1488.9000244140600,674.0537109375,264.8099975585940,1783.9000244140600,477.7000122070310,32327.80078125,328.6000061035160,1259.0,1210.5999755859400,2732.14990234375,2479.75,839.2000122070310,6085.25,1427.4000244140600,275.3999938964840,7.004,6.984,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-18,1498.199951171880,679.8701171875,268.1499938964840,1771.9000244140600,511.8500061035160,33379.19921875,322.45001220703100,1242.699951171880,1206.1500244140600,2829.75,2486.25,844.9000244140630,5991.25,1428.3499755859400,275.79998779296900,7.01,6.981,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-19,1511.3499755859400,686.8795776367190,262.510009765625,1730.6500244140600,506.8500061035160,32892.55078125,315.1499938964840,1221.699951171880,1172.449951171880,2791.25,2457.0,852.5999755859380,5956.2001953125,1392.3499755859400,271.54998779296900,7.0,6.974,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-20,1515.4000244140600,683.9962768554690,260.6400146484380,1756.949951171880,509.3999938964840,32254.69921875,326.29998779296900,1243.199951171880,1174.300048828130,2805.199951171880,2482.199951171880,843.75,5970.7998046875,1381.1500244140600,271.8500061035160,7.0,6.976,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-21,1532.699951171880,677.4341430664060,262.19000244140600,1763.5999755859400,508.6000061035160,32606.349609375,323.70001220703100,1241.0999755859400,1200.6500244140600,2821.64990234375,2441.300048828130,836.2999877929690,6011.4501953125,1416.050048828130,269.6499938964840,6.999,6.973,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-24,1527.1500244140600,681.311767578125,260.6300048828130,1754.0999755859400,498.3500061035160,33015.5,322.04998779296900,1218.6500244140600,1196.1500244140600,2882.25,2442.199951171880,832.7000122070310,6054.9501953125,1419.800048828130,269.8999938964840,6.997,6.971,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-25,1541.949951171880,691.7514038085940,289.6600036621090,1734.25,504.0,33817.94921875,323.8999938964840,1217.949951171880,1192.949951171880,2989.85009765625,2432.199951171880,842.25,6078.39990234375,1414.949951171880,267.0,7.01,6.983,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-26,1540.699951171880,681.70947265625,324.0899963378910,1703.8499755859400,498.6499938964840,34149.3984375,329.1000061035160,1197.949951171880,1178.0999755859400,2989.050048828130,2445.60009765625,845.3499755859380,6070.0498046875,1459.5,267.75,7.018,6.997,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-27,1573.3499755859400,682.9523315429690,320.32000732421900,1686.300048828130,503.1000061035160,34749.6484375,316.5,1188.25,1151.199951171880,2951.050048828130,2462.14990234375,844.0,6235.89990234375,1475.800048828130,267.5,7.018,7.0,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-06-28,1566.75,686.332763671875,350.5899963378910,1729.5999755859400,500.1000061035160,34084.3984375,316.45001220703100,1207.5999755859400,1166.8499755859400,2911.5,2473.050048828130,848.9500122070310,6402.35009765625,1444.050048828130,274.20001220703100,7.022,7.008,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-01,1590.800048828130,713.475830078125,385.3999938964840,1729.1500244140600,501.0499877929690,34249.94921875,321.04998779296900,1211.800048828130,1198.949951171880,2924.25,2505.10009765625,841.9500122070310,6353.7001953125,1454.0,272.95001220703100,7.02,7.013,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-02,1621.050048828130,704.776123046875,374.2000122070310,1727.25,503.2000122070310,34644.80078125,332.29998779296900,1213.050048828130,1191.949951171880,2824.89990234375,2485.14990234375,826.1500244140630,6370.25,1418.949951171880,274.8500061035160,7.029,7.009,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-03,1627.4000244140600,707.2120361328130,375.7000122070310,1740.550048828130,523.7999877929690,34546.44921875,341.0,1238.800048828130,1217.050048828130,2850.449951171880,2510.35009765625,839.9500122070310,6425.89990234375,1419.8499755859400,274.70001220703100,7.002,7.001,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-04,1650.6500244140600,713.2770385742190,367.2000122070310,1744.8499755859400,530.0,35276.3984375,339.79998779296900,1254.6500244140600,1215.9000244140600,2833.75,2495.949951171880,839.2999877929690,6479.35009765625,1423.050048828130,277.04998779296900,6.997,6.998,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-05,1647.449951171880,710.592529296875,393.2000122070310,1852.5999755859400,569.6500244140630,35074.0,335.75,1303.550048828130,1223.9000244140600,2865.85009765625,2547.0,859.75,6520.0,1429.699951171880,288.20001220703100,6.994,6.993,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-08,1661.6500244140600,703.6824340820310,398.8500061035160,1851.949951171880,597.8499755859380,34412.30078125,336.45001220703100,1305.4000244140600,1195.3499755859400,2808.10009765625,2587.14990234375,856.25,6534.14990234375,1435.1500244140600,299.1499938964840,6.988,6.989,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-09,1657.1500244140600,699.4569091796880,398.8500061035160,1797.050048828130,591.9500122070310,35612.44921875,335.79998779296900,1332.4000244140600,1199.8499755859400,2792.0,2590.14990234375,861.2999877929690,6582.85009765625,1435.550048828130,297.45001220703100,6.988,6.989,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-10,1648.25,688.0726928710940,402.1499938964840,1764.550048828130,576.5999755859380,35389.94921875,329.79998779296900,1337.0999755859400,1184.050048828130,2762.10009765625,2610.449951171880,849.0,6592.5498046875,1445.050048828130,298.1499938964840,6.982,6.976,5.4,7.2,8.35,6.5,34.94,153.78,83.1
2024-07-11,1652.699951171880,692.0,405.3500061035160,1770.5,586.0999755859380,35611.25,332.8500061035160,1317.9000244140600,1186.199951171880,2739.0,2608.85009765625,856.7000122070310,6594.75,1437.949951171880,304.75,6.984,6.982,5.4,7.2,8.35,6.5,34.94,153.78,83.1